"","SG2cN","SG3sM","SG3cM","SG1sM","SG1cN","SG1sN","GF2cM","SG3sN","T1cM","GF1cM","LG3cN","T2cN","T3cN","LG3cM","GF3cN","T1sM","T3cM","GF1sN","T1sN","GF3sM","SG3cN","LG2sN","T2cM","GF2cN","SG2cM","LG1cM","LG2cM","SG2sN","LG2sM","LG1sN","GF2sN","GF2sM","GF1sM","GF1cN","T2sN","GF3cM","SG2sM","LG3sN","LG3sM","LG1sM","GF3sN","T2sM","T3sN","T1cN","SG1cM","LG1cN","T3sM","LG2cN"
"Fibrobacteres","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.112739571589628","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"OP11","0","0","0","0","0","0","0","0.143061516452074","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tenericutes","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0816326530612245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WYO","0","0","0","0","0","0.204081632653061","0","0","0","0.131578947368421","0","0","0","0","0","0","0","0","0","0.0816326530612245","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"WS2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0687285223367698","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Acidobacteria","7.65306122448979","16.4790174002047","18.3898305084746","19.9196326061998","10.8433734939759","13.8775510204082","11.6842105263158","19.31330472103","5.11945392491468","10.7894736842105","1.00671140939597","2.92397660818713","6.75496688741722","16.3716814159292","12.8772635814889","7.26256983240223","6.18860510805501","14.4203581526861","8.58676207513417","11.8367346938776","6.49474689589303","15.2334152334152","2.92177191328935","8.54885057471264","19.8789101917255","6.21592148309706","26.6141732283465","14.5869947275923","13.3152173913043","20.5949656750572","14.9189189189189","18.2638105975197","18.1372549019608","16.426116838488","4.91967871485944","3.63881401617251","18.0936995153473","21.5980024968789","17.162471395881","21.9150025601638","15.8847736625514","8.21744627054361","11.4978902953586","7.10955710955711","5.83362098722817","5.66343042071197","5.08474576271186","6.75067506750675"
"AD3","0","0","0","0.172215843857635","0","0.204081632653061","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.368550368550369","0","0","0.403632694248234","0","0","0","0","1.1441647597254","0","0","0","0","0","0","0.807754442649434","0.249687890137328","0.22883295194508","0.0512032770097286","0","0","0","0","0","0","0","0"
"Proteobacteria","32.3979591836735","40.8393039918117","50","31.5154994259472","46.5498357064622","37.5510204081633","51.3684210526316","39.4849785407725","58.3617747440273","50.1315789473684","4.07478427612656","48.635477582846","49.8013245033112","41.3716814159292","53.5211267605634","57.4022346368715","58.1532416502947","41.1875589066918","41.2343470483005","56","44.1260744985673","30.0982800982801","64.6559849198869","48.3477011494253","36.5287588294652","21.1559432933479","28.3464566929134","37.7855887521968","33.4239130434783","27.4599542334096","48.5405405405405","45.5467869222097","41.6666666666667","44.7422680412371","47.0883534136546","66.9811320754717","34.8949919224556","31.0029130253849","40.045766590389","42.5499231950845","49.3827160493827","41.5929203539823","49.789029535865","55.9440559440559","22.0227821884708","19.57928802589","54.2372881355932","19.98199819982"
"Planctomycetes","0","0.102354145342886","0","0.0574052812858783","0.657174151150055","0","0","0.143061516452074","0","0","0.0479386385426654","0","0","0","0","0","0","0.282752120640905","0","0","0.0955109837631328","0.245700245700246","0","0","0.100908173562059","0","0","0.175746924428822","0","0","0","0.112739571589628","0","0.13745704467354","0","0","0","0.166458593424886","0.22883295194508","0","0","0","0","0","0","0","0","0"
"Bacteroidetes","2.72108843537415","0.102354145342886","6.35593220338983","0.574052812858783","4.60021905805038","2.04081632653061","13.6842105263158","0.715307582260372","10.0113765642776","11.3157894736842","1.00671140939597","8.28460038986355","4.37086092715232","8.1858407079646","4.02414486921529","5.72625698324022","12.0825147347741","6.50329877474081","7.06618962432916","4","2.57879656160458","0.737100737100737","8.76531573986805","3.66379310344828","3.83451059535822","3.59869138495093","7.40157480314961","2.10896309314587","0.543478260869565","0.45766590389016","3.02702702702703","5.97519729425028","3.43137254901961","6.46048109965636","4.51807228915663","10.1078167115903","0.484652665589661","0.749063670411985","4.5766590389016","1.53609831029186","3.95061728395062","3.4134007585335","9.59915611814346","13.0536130536131","4.41836382464619","2.42718446601942","16.9491525423729","2.7002700270027"
