"Observed"	"Chao1"	"se.chao1"	"ACE"	"se.ACE"	"Shannon"	"Simpson"	"InvSimpson"	"Fisher"
"SG2cN"	155	234.5	32.6083470100567	205.501326259947	7.20677374674026	3.85109729757205	0.936100120320237	15.6494817362966	47.7997325724154
"SG3sM"	121	175.076923076923	27.2560305933146	154.867964640531	6.07842569959706	4.03629771138126	0.968368692831753	31.614248335707	36.3642346339007
"SG3cM"	158	254.25	40.1687698849999	213.875973180701	7.15988457830767	4.3102698792038	0.977968974432634	45.3905333159473	49.0510121751759
"SG1sM"	190	294.117647058824	41.8003065180149	246.23536314961	7.7825398251954	4.31055038723166	0.974466183609902	39.1637499354705	54.3025276730242
"SG1cN"	136	163.789473684211	13.8565317530117	158.859100492243	5.7306643999376	4.34455403604146	0.979964466049001	49.9113226752889	44.2340898069307
"SG1sN"	111	268.583333333333	70.1412870587856	250.647729966411	9.40767865427306	3.96360165458312	0.968271553519367	31.5174586505645	44.7425352860724
"GF2cM"	191	262.5	24.7276078540586	251.323681412775	7.51212748274581	4.68569726242028	0.984578393351801	64.8440867940796	71.9969562842248
"SG3sN"	123	255.6	66.283756314545	191.723203489569	7.17802177749108	4.23199409574783	0.978876424731018	47.3404708846042	43.2782496242028
"T1cM"	159	246.142857142857	33.0629706960823	231.225454830864	7.90881915391648	4.4184593806605	0.977230046036905	43.9175240152333	56.7216699623509
"GF1cM"	172	265.857142857143	31.5120804654644	263.428863611159	8.44827434227471	4.52150585469831	0.979359418282548	48.4482469384332	69.2922866520606
"LG3cN"	67	105.75	21.525616804471	114.900961538462	5.86805813355927	0.887656950497623	0.256126539620848	1.34431466272543	13.2215888297171
"T2cN"	168	335.571428571429	68.6023475488453	254.734752698311	8.34802488938355	4.45883518179414	0.981175594389917	53.1225272507065	57.0836421276956
"T3cN"	170	385.526315789474	74.1313901517427	345.867011138304	10.9806830285188	4.37691467176393	0.977283452480154	44.020773804927	68.2829945362471
"LG3cM"	91	185.6	49.442544005647	166.662380446017	7.84741599852844	3.8269266570404	0.967088260631216	30.3842950624628	34.3275080114662
"GF3cN"	138	358.071428571429	87.1184162906259	288.285270563997	9.69312288740073	4.26692925882706	0.973648733446959	37.9488400675987	63.2759152672567
"T1sM"	226	340.21875	35.2164351959676	333.610355016847	9.8530563929263	4.6488303289963	0.983102704347555	59.1810678210678	75.4742294740232
"T3cM"	202	319.903225806452	36.5579620957267	320.753925677725	9.76689788451825	4.50000561480647	0.97078519845145	34.2292244682257	75.6079765505506
"GF1sN"	202	368.434782608696	54.6991773247094	324.310912372115	9.75792013179798	4.64070315072943	0.984782197365066	65.7125094857276	73.9755582148305
"T1sN"	194	311.434782608696	40.8134372990353	277.93091222382	8.49326488043728	4.69348204736004	0.986531981144454	74.249970298206	67.7910327630914
"GF3sM"	227	437.416666666667	65.6320702766882	358.815164204912	10.0465622669166	4.63052132246406	0.981515035401916	54.0980208370886	81.9786101373505
"SG3cN"	136	293.928571428571	65.1563008207255	267.923887579688	9.76101545596724	3.87001522627266	0.959054340914917	24.4226133452156	41.6846376676123
"LG2sN"	140	277.75	62.3776217361929	207.758425434508	7.31011885029597	4.21928023959466	0.975288109194743	40.4663490900208	48.7089633560076
"T2cM"	166	324	55.4944375546261	306.2962507624	10.217993166767	3.90379713815338	0.935420055235711	15.4846834206798	55.2140705100196
"GF2cN"	223	556.055555555556	111.407140647164	418.823793960513	11.3164056578158	4.49820186396772	0.975274350971066	40.4438321853475	74.9943201116835
"SG2cM"	113	130.272727272727	11.8321595661992	123.557860879324	4.9144625496116	4.05929056365243	0.968518889989726	31.7650806999385	32.8567119599108
"LG1cM"	111	465	254.116115191461	227.802828839125	8.24460234752052	3.14400890057744	0.871154218927825	7.7612164843786	33.0507543229205
"LG2cM"	85	148	34.9857113690718	140.337988826816	6.64126797630268	3.60741819373019	0.955615351230703	22.5303123428508	26.3848477903388
"SG2sN"	100	187.875	52.3713472949924	137.178471247387	5.68575502906545	4.00457452061639	0.971191712405138	34.7122333011687	35.1639019882742
"LG2sM"	88	156.333333333333	34.3039815183167	149.619932491694	6.88326152653265	3.93419498787984	0.97202859168242	35.7507919746568	36.6372921486498
"LG1sN"	97	199.545454545455	50.479936608518	175.421982380103	7.28875815178312	3.93966767266721	0.969550031680535	32.8407566638005	38.6394834226438
"GF2sN"	180	447.214285714286	103.473052635732	307.139318641741	9.40712709481253	4.4780820852288	0.979866179693207	49.6676728391479	66.6786696720608
"GF2sM"	194	352.142857142857	54.4003722413735	291.193700274004	8.7391374907328	4.6761320775353	0.984060124382125	62.7357467506578	76.6265244543351
"GF1sM"	170	364.04	60.2156403257804	397.694721005354	12.430979208712	4.41039049653828	0.978811568200265	47.195564516129	77.9701230964389
"GF1cN"	254	525.551724137931	75.5343464921753	473.477350943999	12.1996194541973	4.68943464315414	0.982283156788418	56.4434638867411	89.0203547598095
"T2sN"	158	325.571428571429	68.6023475488453	261.2716625	8.70625367602531	4.36270067766517	0.979820889985645	49.5561994205215	52.8915295442878
"GF3cM"	124	171.526315789474	21.0548480694846	165.433281447795	6.26891805964339	3.99064183011708	0.953364186543254	21.4427480916031	42.5454157104762
"SG2sM"	104	233	79.4956395845896	156.810927161636	6.34804139587885	4.07911592093359	0.976090990471368	41.8252374194957	35.7752857099418
"LG3sN"	212	342.2	53.4108486171115	275.246192998193	8.32210137068851	4.46909610712675	0.978113257997485	45.6897604899393	56.0710089623419
"LG3sM"	95	193	46.5213631318815	184.159149013879	7.92594952650477	3.86758334158454	0.968115243835387	31.362949581212	37.3936906453461
"LG1sM"	211	276.807692307692	24.333190830633	261.323514206018	7.85114381023051	4.48156885339289	0.976290496928721	42.1771808963542	60.0856430953794
"GF3sN"	234	408.130434782609	56.8394175191993	327.294698055836	9.06465363996343	4.84202354862384	0.986895629053837	76.3104161281985	86.2118682739578
"T2sM"	139	305.363636363636	76.9241200794653	217.648814643872	7.64387207744271	4.28426461293954	0.976916351942923	43.3207089939763	48.8750700002613
"T3sN"	160	201.4	17.1476516181814	198.247922907861	6.52892030597017	4.39005067258427	0.971274190389717	34.8118995971491	55.1594531032807
"T1cN"	178	410.8	77.4760701242723	402.903085002847	12.6497021550117	4.35527651653655	0.975684765894556	41.1264804469274	68.2537312636246
"SG1cM"	151	200.136363636364	20.4877564497703	198.906467959628	7.05194179040643	2.56562112775164	0.688356862568005	3.20879839755244	33.8475377111524
